iter	Passed	Remaining
814	16661	3782
815	16676	3760
816	16692	3738
817	16708	3717
818	16723	3695
819	16739	3674
820	16754	3652
821	16770	3631
822	16785	3610
823	16800	3588
824	16819	3567
825	16837	3546
826	16857	3526
827	16874	3505
828	16893	3484
829	16911	3463
830	16929	3442
831	16946	3421
832	16964	3401
833	16980	3379
834	16996	3358
835	17012	3337
836	17028	3316
837	17043	3294
838	17060	3273
839	17075	3252
840	17091	3231
841	17107	3210
842	17123	3189
843	17138	3167
844	17154	3146
845	17170	3125
846	17186	3104
847	17201	3083
848	17217	3062
849	17233	3041
850	17251	3020
851	17268	2999
852	17285	2978
853	17301	2957
854	17317	2936
855	17333	2915
856	17349	2894
857	17364	2873
858	17379	2852
859	17395	2831
860	17411	2810
861	17427	2789
862	17442	2769
863	17458	2748
864	17475	2727
865	17492	2706
866	17511	2686
867	17528	2665
868	17546	2645
869	17564	2624
870	17583	2604
871	17601	2583
872	17618	2563
873	17635	2542
874	17652	2521
875	17669	2501
876	17685	2480
877	17704	2460
878	17721	2439
879	17739	2419
880	17758	2398
881	17775	2378
882	17794	2357
883	17812	2337
884	17829	2316
885	17847	2296
886	17865	2275
887	17881	2255
888	17897	2234
889	17912	2213
890	17927	2193
891	17943	2172
892	17958	2151
893	17974	2131
894	17990	2110
895	18006	2090
896	18021	2069
897	18037	2048
898	18056	2028
899	18075	2008
900	18093	1988
901	18111	1967
902	18131	1947
903	18157	1928
904	18181	1908
905	18212	1889
906	18238	1870
907	18269	1851
908	18296	1831
909	18323	1812
910	18340	1791
911	18357	1771
912	18374	1750
913	18392	1730
914	18410	1710
915	18429	1690
916	18447	1669
917	18467	1649
918	18485	1629
919	18502	1608
920	18519	1588
921	18535	1568
922	18555	1547
923	18579	1528
924	18605	1508
925	18631	1488
926	18654	1469
927	18677	1449
928	18699	1429
929	18725	1409
930	18757	1390
931	18778	1370
932	18807	1350
933	18825	1330
934	18843	1310
935	18859	1289
936	18877	1269
937	18893	1248
938	18910	1228
939	18926	1208
940	18942	1187
941	18959	1167
942	18977	1147
943	19002	1127
944	19025	1107
945	19047	1087
946	19070	1067
947	19094	1047
948	19121	1027
949	19150	1007
950	19176	988
951	19197	967
952	19225	948
953	19243	927
954	19262	907
955	19278	887
956	19298	867
957	19315	846
958	19331	826
959	19347	806
960	19365	785
961	19380	765
962	19396	745
963	19413	724
964	19439	705
965	19459	684
966	19483	664
967	19509	644
968	19539	625
969	19568	605
970	19591	585
971	19621	565
972	19649	545
973	19670	525
974	19686	504
975	19704	484
976	19721	464
977	19738	444
978	19756	423
979	19773	403
980	19790	383
981	19808	363
982	19824	342
983	19840	322
984	19856	302
985	19871	282
986	19888	261
987	19904	241
988	19921	221
989	19936	201
990	19953	181
991	19973	161
992	19997	140
993	20025	120
994	20055	100
995	20084	80
996	20114	60
997	20141	40
998	20167	20
999	20193	0
